RC101

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      40         40          0          0        240          0   
    1      25         45         20        41         51         10   
    2      22         58         30        67         77         10   
    3      22         60         10        99        109         10   
    4      20         65         10        73         83         10   
    5      20         45         20        39         49         10   
    6      18         58         10        87         97         10   
    7      15         55         20        72         82         10   
    8      15         60         30        122        132         10   
    9      30         60         10        91        101         10   
   10      30         55         10        109        119         10   
   11      28         52         20        54         64         10   
   12      28         55         10        39         49         10   
   13      25         50         10        74         84         10   
   14      25         52         40        124        134         10   
   15      16         57         40        72         82         10   
   16      16         61         20        96        106         10   
   17      13         57         20        34         44         10   
   18      13         61         20        61         71         10   
   19      15         47         10        83         93         10   
   20      27         47         20        44         54         10   
   21      30         47         30        125        135         10   
   22      43         65         20        55         65         10   
   23      43         67         10        76         86         10   
   24      40         60         10        63         73         10   
   25      40         67         30        125        135         10
